localization_key,English_reference,English_display
s_ry_rychtar_p_ja_byl_ten_Mh6c,"I was barely more than a lad back then... but my father was on the council, so I got a fair look through him.","I was barely more than a lad back then... but my father was on the council, so I got a pretty close look through him."
s_ry_rychtar_p_ja_vezmi_s_MDhk,I... take it. There’s blood on it; it won’t bring anyone luck anymore.,Take it and be damned! There’s blood on it; it won’t bring good luck to anyone anymore.
s_ry_rychtar_p_jako_my_dv_LW5c,"The two of us? I doubt it, Henry. You’re the only master between the pair of us.","The two of us? I doubt it, Henry. You are the only master craftsman between the pair of us."
s_ry_rychtar_p_jdeme_ho_o_lFhw,Shall we fix it?,Get to fixing it?
s_ry_rychtar_p_je_to_troc_KdXL,"He’s a bit of an odd one, but I’m afraid if you’re serious about repairing the clock, sooner or later you’ll have to speak with him.","He is a bit of an odd one, but I am afraid if you are serious about repairing the clock, sooner or later you will have to speak with him."
s_ry_rychtar_p_jenze_druh_Nkpz,"The councillors said the next day they found the clock half looted, the remaining parts strewn about, and the Italians gone — along with the plans!","The councillors said the next day they found the clock half looted, the remaining parts strewn about, and the Italians gone - along with the plans!"
s_ry_rychtar_p_jeste_by_p_xhNA,"Next thing you know, Master de' Dondi or that Wolf will show up wanting coin too. Where would that leave us?","Next thing you know, Master de' Dondi or that Volf would show up wanting coin too. Where would that leave us?"
s_ry_rychtar_p_jeste_tak__GpBT,At least he didn't end up like the people from Mezholezy.,At least he didn't end up like the people from Mesoles.
s_ry_rychtar_p_jo_byl_to__j6JC,"Aye. He paints well, but he’s a terribly peculiar bloke. So what do you want with it?","Aye. He paints well, but he’s a terribly peculiar fellah. What about it?"
s_ry_rychtar_p_jsem_ti_vd_bAu7,"I’m thankful you’re trying, Master, I really am, but... there’s one last thing you need to know.","I am thankful you’re trying, Master, I really am, but... There is one last thing you need to know."
s_ry_rychtar_p_kazdopadne_j6oJ,"In any case, I reckon you ought to hear the whole sorry tale first. Might make you wiser.","In any case, I reckon you ought to hear the whole sorry tale first. It might make you wiser."
s_ry_rychtar_p_klemmer_a__T5Uv,"Klemmer and Hollander? They won’t help you anymore. Both are dead, and their families have long since moved far away...","Klemmer and Hollander? They will not help you anymore. Both are dead, and their families have long since moved far away..."
s_ry_rychtar_p_kutna_hora_eXgU,Kuttenberg is a mining town. The councillors are miners first and foremost.,Kuttenberg is a mining town. The councillors are mine officials first and foremost.
s_ry_rychtar_p_mam_zbroj__nsxD,"I have armour and a sword, and I’m not bad at using it at all. If Adela saw me fighting, I’m sure she’d think more highly of me.","I have armour and a sword, and I’m not at all bad with it. If Adela saw me fighting, I’m sure she’d think more highly of me."
s_ry_rychtar_p_mesto_je_v_vWOf,"The town’s exhausted by war, the coffers are empty... You understand.","The town is exhausted by war, the coffers are empty... You understand."
s_ry_rychtar_p_mohl_bych__Ibhd,Well I could have something written on the wall You’re from that painter right you know how to write,"Well I could have something written on the wall. You’re from that painter, aren't you. Do you know how to write?"
s_ry_rychtar_p_navic_si_m_VJAE,"Plus I think I might have a chance with Lady Adela. You know, man to man.","Plus I think I might have a chance with Lady Adela. If you understand me, as one man to another."
s_ry_rychtar_p_neber_to_z_yOUV,"Don’t take it the wrong way, but if it went wrong, the councillors’d have my head. Or worse, they’d never trust me with the bailiff’s mace again.","Do not take it the wrong way, but if it went wrong, the councillors would have my head. Or worse, they would never trust me with the bailiff’s mace again."
s_ry_rychtar_p_nebo_pres__2fhI,Hmm that’s probably true Adela is always with that guard of hers Jedlitchka or by day she sits outside under the willow watching the construction,"Hmm, that’s probably true. Adela is always with that guard of hers Yedlitchka, or by day she sits outside under the willow watching the construction."
s_ry_rychtar_p_necham_pos_lxGq,"I’ll have Fabrizio and that mechanic of yours brought in, and we’ll move the necessary parts from your forge to the town hall.","I’ll have Fabrizio and that mechanic of yours sent for, and we’ll move the necessary parts from your forge to the town hall."
s_ry_rychtar_p_nemuzu_si__ozQi,I can’t help but feel there was something shady about it. Try asking Fabrizio. He doesn’t share much with me.,I cannot help but feel there was something shady about it. Try asking Fabrizio. He does not share much with me.
s_ry_rychtar_p_nenecham_s_Ws8L,I’m not getting in trouble with the councillors on your account.,I do not want to get in trouble with the councillors on your account.
s_ry_rychtar_p_no_a_ja_pu_4R9L,"Then I’ll just happen to walk by, see it, challenge you to a duel, and beat you in front of her. Guaranteed good impression!","Then I’ll just happen to walk by, see it, challenge you to a duel, and beat you in front of her. Good impression guaranteed!"
s_ry_rychtar_p_no_a_nemel_M9e3,So what? He shouldn't have been seeing his wife.,So what? He shouldn't have messed with his wife.
s_ry_rychtar_p_no_ale_nez_Vi0r,"But don’t lose heart. Worst case, your reward will be the undying gratitude of all the townsfolk of Kuttenberg!","Do not lose heart. In the worst case, your reward will be the undying gratitude of all the townsfolk of Kuttenberg!"
s_ry_rychtar_p_no_kdyz_bu_irxz,"Well... if I’m genuinely satisfied with how you handle it all, maybe I’ll find a little something for you.","Well... if I am genuinely satisfied with how you handle it all, maybe I will find a little something for you."
s_ry_rychtar_p_no_proto_j_9tJm,That's what I thought. One more word and you'll spend couple of days locked up!,That's what I thought. One more word and you'll spend a few days locked up!
s_ry_rychtar_p_no_tak_pak_2m1I,Well... Then you’d better make sure you aren’t! If you still want that gemstone...,Well... Then you’d better make sure you aren’t! If you want that gemstone...
s_ry_rychtar_p_no_vlastne_I2Wr,Well... And why not? Will you help me then?,Well... why not? Will you help me then?
s_ry_rychtar_p_orloj_je_r_YnGw,"Besides, the clock is so broken it couldn’t be any worse. Worth a try, no?","Besides, the clock is so broken it could not be any worse. Worth a try, no?"
s_ry_rychtar_p_p_ok_tak_j_eOIx,"Ah, Master Henry! Word is you fancy your chances at fixing our cursed old clock.","Ah, Master Henry! Word is you fancy your chances at fixing that damned old clock of ours."
s_ry_rychtar_p_p_porad_si_gcpP,"I told you, you have to prove yourself first! And you haven’t.","I told you, you have to prove yourself first! And you have not."
s_ry_rychtar_p_pani_anna__pGDE,Lady Anna of Waldstein has sent someone she knows to check on how the fortress construction is coming along.,Lady Anna of Waldstein has sent an acquaintance to check on how the fortress construction is coming along.
s_ry_rychtar_p_podivej_se_m4Lz,"Look here, Master Henry. I can’t let someone near the clock who’s barely known in town.","Look here, Master Henry. I cannot let someone near the clock who is barely known in town."
s_ry_rychtar_p_podstatne__xPYM,He significantly boosted the miners’ output. And they realised you can’t just trade away someone that clever like he’s a sack of coal...,He significantly boosted the miners’ output. And they realised you could not just trade away someone that clever like a sack of charcoal...
s_ry_rychtar_p_povidam_ti_o6mf,"It's not worth, I tell you.","It's not worth it, I tell you."
s_ry_rychtar_p_prijd_za_m_3rXu,Come see me in the morning. That’ll be the best time to start.,Come and see me in the morning. That’ll be the best time to start.
s_ry_rychtar_p_prijd_za_m_yb7K,Come and see me once you’ve made a name for yourself in Kuttenberg. Then we’ll talk.,Come and see me once you have made a name for yourself in Kuttenberg. Then we will talk.
s_ry_rychtar_p_proboha_al_IlSF,Good Lord... But... That was because of the stone?,Good Lord! Are you saying… that was because of the stone?
s_ry_rychtar_p_proc_ne_od_JsHP,Hm. You’re doing good work in town and your forge is gaining quite a name.,Hm. You are doing good work in town and your forge is gaining quite a name.
s_ry_rychtar_p_protoze_me_whkg,"Because he had something to offer the local miners. That is, the councillors — the same ones who’d wanted to trade him for a pile of groschen.","Because he had something to offer the local mine owners. That is, the councillors - the same ones who had wanted to trade him for a pile of groschen."
s_ry_rychtar_p_pry_se_mu__L6Cf,"Apparently, first chance he got, he got absolutely smashed. Fabrizio had to hide all the bottles from him.","Apparently, first chance he got, he got absolutely shit-faced. Fabrizio had to hide all the bottles from him."
s_ry_rychtar_p_samozrejme_BRto,His mates most likely forgot him in the rush.,His companions most likely forgot him in the rush.
s_ry_rychtar_p_takze_nas__TNdo,"So Fabrizio was granted his freedom on condition he stay in the town. And so he’s still here to this day — and by the look of it, doing quite well.","So Fabrizio was granted his freedom on condition that he stay in the town. And so he is still here to this day - and by the look of it, doing quite well."
s_ry_rychtar_p_ted_dovol__ncty,"Now if you’ll allow me, I’d like to lend a hand myself — at least symbolically, in the name of the town.","Now if you’ll allow me, I’d like to lend a hand myself - at least symbolically, in the name of the town."
s_ry_rychtar_p_to_je_rozh_FtsN,That’s definitely a good start.,That is definitely a good start.
s_ry_rychtar_p_to_jiste_b_NbkP,"That it is, and we’ll be grateful, but we truly can’t spare even a portion of our funds.","That it is, and we will be grateful, but we truly cannot spare even a portion of our funds."
s_ry_rychtar_p_to_nejsem__nLIj,"Not exactly, but I’m a townsman! I’ve got a sword and armour, and I’m not a bad swordsman! That would surely enchant Adela.","Not exactly, but I’m a burgher! I’ve got a sword and armour, and I’m not a bad swordsman! That would surely enchant Adela."
s_ry_rychtar_p_tohle_je_m_7ZP2,So you want to tell me how to do my job?,"So, do you want to tell me how to do my job?"
s_ry_rychtar_p_tvrz_tady__zrlq,We’re building this fortress on Lady Anna of Waldstein’s orders and mainly using her resources.,"We’re building this fortress on Lady Anna of Waldstein’s commission, and most importantly, at her expense."
s_ry_rychtar_p_uz_je_to_t_rwXU,One day the mechanism just suddenly stopped. And it’s stood still ever since — nearly thirty years now.,One day the mechanism just suddenly stopped. And it has stood still ever since - nearly thirty years now.
s_ry_rychtar_p_v_tom_prip_MuAf,"In that case, our painter can say goodbye to the gemstone... But if you change your mind, you know where to find me.","In that case, our painter can kiss goodbye to the gemstone... But if you change your mind, you know where to find me."
s_ry_rychtar_p_vazne_vybo_AsPQ,"Really? Erm, that’s great! I’ll get my armour and sword ready.","Really? Erm, I mean great! I’ll get my armour and sword ready."
s_ry_rychtar_p_vinna_ulic_vU8L,"Wine Street, second floor. Next to the tailor. And try to dress properly if you want to make an impression.","Vintners Street, second floor. Next to the tailor. And try to dress properly if you want to make an impression."
s_ry_rychtar_p_vyzadali_s_mxQF,"I only know what my father told me. They demanded all the plans and acted like they were the finest masters around — “Yes, yes, we’ll do it, no trouble at all.”","I only know what my father told me. They demanded all the plans and acted like they were the finest masters around - “Yes, yes, we’ll do it, no trouble at all.”"
s_ry_rychtar_p_ze_pry_use_8dzQ,Said we’d save coin if our own folk handled the repairs. But it went as it usually does.,They said we would save coin if our own people handled the repairs. But it went as it usually does.
s_ry_rychtar_p_zkus_na_ne_asxy,"Though I’m not sure he’ll speak to you. If you’re passing by, try dropping in and see if you can win him over somehow.","Though I am not sure he will speak to you. If you are passing by, try dropping in and see if you can win him over somehow."
s_ry_rychtar_p_zmizeli_ja_iWLC,What do you think? Vanished like steam off a pot.,What do you think? Vanished like steam from a kettle.
s_ry_rychtar_p_zrudo_IXSX,Monster.,You monster!
s_ry_rychtaruv_a_dela_u_t_IpiY,Making an incredible fool of himself.,And makes an incredible fool of himself.
s_ry_rychtaruv_a_taky_pek_WO4b,"Pretty cocky, too. But he punched me good, I'll give him that.","Pretty haughty, too. But he punched me good, I'll give him that."
s_ry_rychtaruv_a_ty_ses_t_4399,"And you fought bravely, too. You were outnumbered but you still gave us a run for our money!","And you fought bravely, too. You were outnumbered, but you still gave us a run for our money!"
s_ry_rychtaruv_ale__PIAR,Oh well… You have nothing to apologise for. Unlike that friend of yours. He started it all.,Ah! You have nothing to apologise for. Unlike that friend of yours. He started it all.
s_ry_rychtaruv_bylo_nas_v_gWAG,You were outnumbered but you still gave us a run for our money!,"You were outnumbered, but you still gave us a run for our money!"
s_ry_rychtaruv_co_BZut,Oh shut it. It will be fun!,"Ah, bugger off! It'll be a laugh!"
s_ry_rychtaruv_dcera_mist_KlxS,Mousey. Her mother is old Semine's cook.,Myshka. Her ma is old Semine's cook.
s_ry_rychtaruv_hele_ale_t_H4AQ,Jesus Christ! What an idea!,Jesus Christ! There's an idea!
s_ry_rychtaruv_kazdopadne_zzia,"Anyway, as far as you and I are concerned, let bygones be bygones. All good?","Anyway, as far as you and I are concerned, let's let bygones be bygones. All good?"
s_ry_rychtaruv_lip_bych_to_vmR4,I couldn't have said…,I couldn't have said it b…
s_ry_rychtaruv_no_jo_ta_k_YENu,"Aye, well, you wouldn't avoid a beating either way. People in the village don't like strangers. And my father's no different.","Aye, well, you wouldn't have avoided the stocks either way. People in the village don't like strangers. And my father's no different."
s_ry_rychtaruv_no_tak_pan_1Iaa,"Oh, man… Look at her face!",Christ! Look at her face!
s_ry_rychtaruv_o_tom_jsem_sU3T,I've heard about that. First the wolves and then the injured leg.,I heard about that. First the wolves and then the injured leg.
s_ry_rychtaruv_prej_ji_os_0xYY,That arsehole Vuytek thinks he's gonna win her over with some stupid rhymes.,That arsehole Vuytek thinks he's going to win her over with some idiotic verse.
s_ry_rychtaruv_sakra_ted__1miZ,Sakra. Now I don't know what he said to her!,Sakra! Now I don't know what he said to her!
s_ry_rychtaruv_sazim_na_j_xx84,"My money's on Henry! Ten groschen! So go on, dust off your britches, tuck in your shirt and go get her!","My money's on Henry! Ten groschen! So off you go, dust off your hose, tuck in your shirt and go and win her heart!"
s_ry_rychtaruv_souhlasis__vfwC,Fantastic! I knew right away you'd be fun!,Fantastic! I knew right away you'd be up for a bit of fun!
s_ry_rychtaruv_tak_bez_ji_TzzO,Stop dilly-dallying and go get her! Or Vuytek might succeed in the end!,Stop dilly-dallying and go and get her! Before Vuytek wears her down!
s_ry_rychtaruv_tak_my_tu__JNbh,So we've a hero in our midst!,So we've got a hero in our midst!
s_ry_rychtaruv_ted_mu_zem_cwnE,"His dad just died, so we're raising glasses to his memory.","His pa just died, so we're having a toast to his memory."
s_ry_rychtaruv_ticho_vy_d_0HS0,"Shut up, you two!","Quiet, you two!"
s_ry_rychtaruv_ty_ses_s_n_R3Oj,You fought us in the tavern!,You fought with us at the tavern!
s_ry_rychtaruv_vidis_ze_n_2j9u,"See? I'm no idiot. I just can't stand pompous buffoons. And you're not one of them, are you?","See? I'm no idiot. I just can't stand stuck-up fellahs. And you're not one of them, are you?"
s_ry_rychtaruv_von_je_to__ifE6,"So he really is some kind of nobleman, eh? Well, I'll be damned… I hope he forgets it quickly.","So he really is some kind of nobleman, is he!? Well, I'll be damned! I hope he forgets it quickly."
s_ry_rychtaruv_vsadime_se_eaDO,"Let's bet who has better chances with Mousey. Vagabond Vuytek, or handsome Henry?","Let's bet on who has a better chance with Myshka, Vulgar Vuytek or Handsome Henry?"
s_ry_syn_lovci_cha_to_chc_RgsC,Ha! That I want to see! It's a deal!,Ha! I'd like to see that! You're on!
s_ry_syn_lovci_ja_sazim_d_fkQR,I'll bet you ten groschen he bungles it! Ha ha ha…,I'll wager ten groschen he fails!
s_ry_syn_lovci_jak_vujtko_qWZx,"When some poor lass catches his eye, he would bend over backwards to impress her.","When some poor lass catches his eye, he buzzes around her like a wasp."
s_ry_syn_lovci_mama_rika__h3xt,Mum's afraid he got lost. She didn't even come to the wedding because of that.,Ma's afraid he got lost. She didn't even come to the wedding because of it.
s_ry_syn_lovci_nastesti_t_eUOu,"Fortunately, my father's not here so he can't embarrass me again…","Fortunately, my father's not here to embarrass me again."
s_ry_syn_lovci_neber_to_z_apTR,"Don't take it the wrong way, it's nice that you helped him, but he'd be fine if he didn't get drunk.","Don't take it the wrong way, it's nice that you helped him, but he'd have been fine if he hadn't got drunk."
s_ry_syn_lovci_no_jo_to_j_ZCKe,"Aye, that’s my dad. And his drinking… I'm afraid he's not going to be much better today.","Aye, that’s my pa. And his drinking… I'm afraid he's not going to fare much better today."
s_ry_syn_lovci_skoda_kdyz_X0gD,"If you want to talk to him, you better hurry up. Knowing him, he'll be sloshed in no time…","If you want to talk to him, you'd better hurry up. Knowing him, he'll be sloshed in no time…"
s_ry_syn_lovci_tak_proc_t_GOrz,Then why the old drunk isn't here?,Then why isn't the old drunk here?
s_ry_syn_lovci_tak_tos_ho_kYh9,So you caught him when he was still sober. Congratulations…,So you caught him while he was still sober. Congratulations!
s_ry_syn_lovci_taky_tu_dn_7kdW,And I'm afraid he's not going to be much better today. Have you met before?,And I'm afraid he's not going to fare much better today. Have you seen him?
s_ry_syn_lovci_to_urcite__05q3,"Aye, right. Not unless he got dissolved in booze.","Aye, right. Maybe he got dissolved in booze."
s_ry_syn_lovci_ty_si_taky_JImv,"You get along with everybody. That is, if you don't beat them up right away. Ha ha…","You get along with everybody. Well, that is, if you don't punch them in the mouth at first sight. Haha!"
s_se_henry_slysel_jsem_ze_G1ry,I hear your brother's looking for some medal.,I hear your brother's searching for a medal.
s_se_mladsi_ve_dalsi_tako_H7QR,"Oh God, another one. Come off it. Who would steal here. In a dump like this.?","Oh God, another one. Come off it. Who would steal here, in a dump like this?"
s_se_mladsi_ve_pockej_co__fE93,Wait… What are you interested anyway?,Wait… why are you interested anyway?
s_se_mladsi_ve_tak_to_joo_XOt4,"Oh, right. I know what you mean. I like them best too. They're definitely nicer than people.","Oh, right. I know what you mean. I like them too. They're definitely nicer than people."
s_si_henry_uz_jo_problem__uNxH,"Good. And leave Standu alone now, got it?","Good. And leave Standa alone now, got it?"
s_si_sikanator_ha_tak_to__s7fg,Ha! I told you I was the best! Now I've got your coin and Standa's debt stands.,Ha! I told you I was the best! Now I've got your coin and Standa's debt still stands.
s_si_sikanator_heled_se_j_LMtR,"Look, I wasn’t trying to cheat you, really! I’ll leave Standu alone, I swear.","Look, I wasn’t trying to cheat you, really! I’ll leave Standa alone, I swear."
s_si_sikanator_jo_jeste_p_Z1yJ,"Ah, right — almost forgot. Here you go.","Ah, right - almost forgot. Here you go."
s_su_henry_a_byl_nekdy_vu_dh9Y,And have you ever been?,Are you ever?
s_su_henry_ale_dal_si_mi__nbj0,But it was a real challenge.,But you really made me work.
s_su_henry_ale_nedaroval__BbBI,But it wasn't easy.,"It wasn't easy, though."
s_su_henry_ani_jsem_se_ne_6T0l,It wasn't that hard!,That wasn't too hard!
s_su_henry_diky_hadam_ze__aVNS,"Aye, I did my best. And now you're going to explain you have to have a beer, and there'll be no more fighting today.","Aye, I gave it my all. And now you're going to say you have to go for an ale, and there'll be no more fighting today."
s_su_henry_nezacal_jsem_n_OhRz,I had a bad start. Can we do it again?,I got off to a bad start. Can I try again?
s_su_henry_nic_si_z_toho__fA7w,Stop blabbering and admit you lost!,"Horseshit! You got beaten, admit it!"
s_su_henry_pojdme_zase_to_nliF,Let's keep it the same.,Let's carry on as we were.
s_su_henry_pojdme_znovu_b_fCjJ,"Let's have another practice fight, but change weapons.","Another practice fight, but let's change weapons."
s_su_henry_poznam_kdy_to__k6TI,"You're too good, I can't beat you.","You're too good, I'm no match for you."
s_su_henry_radsi_si_odpoc_6PdA,I need to rest.,I'd better have a rest.
s_su_henry_stacilo_mi_to__nkEC,I'll rest up a bit and come back.,I'll rest a bit and come back.
s_su_henry_stejne_uz_si_v_Ja0M,You already won.,You already won anyway.
s_su_henry_ted_se_pujdu_d_aI9y,I think I'll go fix myself up.,I think I'll go and rest.
s_su_henry_ted_to_zkusme__kGlb,Let's try one with real weapons.,Now let's have a go with real weapons.
s_su_henry_to_bylo_vsechn_opeL,"You're out of practice, Hynek!","You're losing your touch, Hynek!"
s_su_henry_uz_bych_te_nep_Lhwu,I couldn't beat you.,I couldn't beat you now.
s_su_henry_vidim_ze_pro_t_U6fR,I see I'm not good enough.,I can see I'm not good enough.
s_su_henry_vratim_se_az_s_uKRu,I'll come back rested.,I'll come back when I'm rested.
s_su_suchy_cert_zejtra_to_pcAZ,Tomorrow you can try again!,You can have another go tomorrow!
s_su_vasko_ale_jo_co_by_t_C8CU,"Heh heh... You just don't give up, eh?","Heh heh... You don't give up easily, eh?"
s_su_vasko_ano_potomhle_s_FjMY,Smart lad! We can drink some together!,Clever lad! You can join me if you want!
s_su_vasko_copak_chces_zk_JS3I,Is that enough for you? We can try something else.,Had enough? We can try something else.
s_su_vasko_dam_ale_uz_ne__9SFK,Not today. How about going for a beer instead?,Not today. How about going for an ale instead?
s_su_vasko_davej_si_bacha_nuyz,Who wouldn't be with this awful hangover...,"Not surprising, with this awful hangover…"
s_su_vasko_dej_mi_chvilku_NLqf,Give me a moment and we can continue.,Give me a mo' and we can continue.
s_su_vasko_diky_ale_k_cem_EXS8,"Well, this wasn't my first fight! Next time I'll wipe the ground with you!","Well, I'm battle-hardened, aren't I? Next time I'll wipe the floor with you!"
s_su_vasko_dneska_jsem_me_vSnW,Because I was out drinking yesterday and I'm not completely sober yet.,Because I was out on the lash yesterday and I'm not fully sober yet.
s_su_vasko_dobra_tak_zacni_LyqD,Very well. Let's begin.,Very well. Let's get cracking.
s_su_vasko_dobra_vzdavam__t9cd,"That was good, Henry. I give up!","Well done, Henry! I give up!"
s_su_vasko_dost_at_me_nez_LEyg,"Bloody hell, you're wearing me out...","Bloody hell, you're running me ragged…"
s_su_vasko_dost_at_te_moc_f5fe,I think we've both have just about enough. Let's rest for a moment.,I reckon we've both had just about enough. Let's rest for a bit.
s_su_vasko_dost_at_tu_nej_CMcO,"That's enough, so we can try something else too. What now?",That's enough. Why don't we try something else now?
s_su_vasko_holt_uz_nejsem_utD4,Oh aye. I either drank too little or too much. I feel best when my level's just right.,True. I either drank too little or too much. I need just the right amount of booze to be at my best.
s_su_vasko_jasny_az_zas_b_OXHA,"Alright. When you want to try again, you know where to find me.",Alright. You know where to find me.
s_su_vasko_jenze_ne_dost__47rY,"Bah, I only pretended to fight to make you happy.","Bah, I was only pretending to fight to make you happy."
s_su_vasko_jestli_chces_p_m9Mp,"You can come tomorrow, as soon as I sober up.","You can come tomorrow, once I've sobered up."
s_su_vasko_kdyz_myslis_a__Xmuw,If you say so... But we can continue whenever you feel up to it.,If you say so... But I don't mind continuing once you feel up to it.
s_su_vasko_konec_vzdavam__dogT,"I give up, it's yours.","I give up, you win."
s_su_vasko_moc_si_toho_ne_qJOM,"Is that all you've got? Oh Henry, I was expecting more from you!","Is that all you've got? I have to say, Henry, I was expecting more from you!"
s_su_vasko_neboj_nebojova_qUo4,"It wasn't bad, Henry, but you're not good enough to beat me yet!","That wasn't bad, Henry, but you're still no match for me!"
s_su_vasko_nebyl_jsi_dale_iQiO,A few more years of training and we'll be equals.,A few more years' training and you'll be my equal.
s_su_vasko_ocividne_to_ne_q4Oa,"Ouch... The first time was no coincidence, you beat me again.","Ow... That first time wasn't just luck, you beat me again."
s_su_vasko_proc_si_presta_S8Yr,"So, are you up for something else?",Well? Shall we try something else?
s_su_vasko_staci_uz_mas_d_4uH7,I think that's enough for today. I wanted to go for a beer.,I think that's enough for today. The tavern beckons.
s_su_vasko_tak_co_stacilo_R0FA,Well? Have you had enough?,Well? Had enough?
s_su_vasko_ted_se_bez_ose_ClfD,"When you get yourself together, we can do it again.","When you're in better shape, we can do it again."
s_su_vasko_to_by_stacilo__Z3lR,"That should be enough, eh? What now?","That'll do, won't it? What now?"
s_su_vasko_to_je_dobre_ta_EKQz,"I certainly have, so I'm going to get a drink. And we can continue tomorrow.","I certainly have, so I'm going for a drink. We can continue tomorrow."
s_su_vasko_to_mas_pravdu__TTqF,You're right about that. Rest up and we can continue.,You're not wrong. Get some rest and we can continue.
s_su_vasko_to_staci_uz_je_Jw68,"I've had more than enough, that's all for today.",I'm dead on my feet. That's all for today.
s_su_vasko_treba_XcJx,"Alright, then. But next time I'll pay you back!",Fair enough. But I'll get you back next time!
s_su_vasko_tve_prvni_vite_osY0,But I'd like to try it again to see if it was a coincidence or not!,But I'd like a rematch to see if it was luck or not!
s_su_vasko_uvidime_co_pre_FYL6,"As soon as sober up, I'll give you a going over!",As soon as I sober up I'll give you what for!
s_su_vasko_uz_me_to_nebav_lZbn,This is getting boring. But we can exchange weapons.,"This is getting boring. We can change weapons, though."
s_su_vasko_vrat_se_az_na__pcYW,Maybe it'll be better next time.,Maybe you'll do better next time.
s_su_vasko_vzdavam_se_vyh_JG3x,You won.,You win.
s_su_vasko_zastav_uz_mam__FsY2,"That's enough. I'm finished fighting for today, let's go drinking!",That's enough fighting for today. Let's go drinking!
s_su_vasko_zkusme_to_zas__eM1N,"Be careful, young man! Next time I'll give you a proper working over!","Watch it, lad! I'll knock the stuffing out of you next time!"
s_ta_henry_a_jak_moc_jsem_BY6a,And how loosened up was I?,And just how loosened up was I?
s_ta_henry_a_neni_to_spis_OU47,Isn't it about the wine that got me so wasted? It had a strange tang to it…,Not because of that wine that knocked me out? It seemed a bit too strong.
s_ta_henry_a_neproved_jse_nQvr,Did I do something?,Did I get up to anything… stupid?
s_ta_henry_a_vubec_jaktoz_hfDP,And anyway… How come I got so wasted and you were fine?,Besides… How come it knocked me out cold and you were fine?
s_ta_henry_au_hrozne_me_b_dG6S,Ow… My head aches terribly.,Ow… My head is aching terribly.
s_ta_henry_co_se_stalo_co_zcAo,What's happened? All I can remember is that we drank wine… and then nothing.,What's happened? All I can remember is us drinking wine… and then nothing.
s_ta_henry_no_tak_radsi_n_W5Yb,"Next time, you better think differently.","Next time, think twice!"
s_ta_henry_opravdu_XR3v,Is that true?,Really?
s_ta_henry_protoze_mi_pri_k4RL,"Because you seem uncomfortable, somehow.",Because you seem rather nervous.
s_ta_henry_se_zas_tolik_n_huFi,It was nothing.,"It was nothing that terrible, after all."
s_ta_henry_tak_to_se_omlo_QUEv,"Well, I'm sorry.",I do apologise.
s_ta_henry_tak_uz_to_nikd_3DjW,Don't ever do that again.,"Well, I'm glad one of us enjoyed it!"
s_ta_henry_to_bych_rek_a__X7qG,I'd say so! And why would you do it anyway?,I should say so! And why did you do it anyway?
s_ta_henry_to_jsem_rad_ba0h,I'm glad.,I'm glad to hear it.
s_ta_henry_ty_jo_to_me_va_e1JE,Ah… I'm really sorry. I'm very sorry.,Ah… I'm really sorry. I sincerely apologise.
s_ta_nesikovna_ale_nee_JEY6,I don't think so…,Er… no.
s_ta_nesikovna_jindro_uz__1uHF,Henry? You're finally up?,Henry? You're finally awake?
s_ta_nesikovna_jo_bylo_to_K11N,Aye… it was nice.,Yes… it was nice.
s_ta_nesikovna_nemusis_ji_gylm,"You don't have to be, Henry. It was kind of nice.","You don't have to, Henry. It was rather nice."
s_ta_nesikovna_no_dobra_2Mc6,Alright… I might have spiked the wine with a little schnapps.,Alright… I might have added a little schnapps to it.
s_ta_nesikovna_no_jo_nest_0nwT,Yes… nothing.,"True, it wasn't."
s_ta_nesikovna_no_jo_troc_sDMB,"Aye, you drank a little bit too much.","Well, yes, you overdid it a bit."
s_ta_nesikovna_proc_myslis_ZQzO,Why would you think so?,Why do you think so?
s_ta_nesikovna_protoze_mi_9P6v,Because I thought you were a little uncomfortable when we were together. So I though you would loosen up.,Well… I thought you were a little uncomfortable with me and it would help loosen you up.
s_ta_nesikovna_stane_se_j_6wMM,"You're welcome, Henny… I mean… Henry.","You're welcome, Henry… I mean… that's alright."
s_ta_nesikovna_to_nevadi__jxJ8,"I don't mind. It was nothing, Henny… I mean… Henry.","I don't mind. It was nothing, dearest… I mean, Henry."
s_ti_henry_a_kterej_pokoj_7QHb,Aha... And which room is mine then?,Ah… So which room is mine?
s_ti_henry_chudak_gejza_s_rxUQ,"Poor Gejza almost broke my back, hauling him here…",Poor Gejza almost broke my back…
s_ti_henry_jde_o_cest_co_n4ho,"It's about honour, huh?","It's about honour, eh?"
s_ti_henry_mam_jeste_skoc_au8F,Shall I go to the camp to get her and the Voivode?,Should I go to the camp to get her and the Voivode?
s_ti_henry_nechas_me_vyhr_NmbE,"Won't you let me win? After all, it's for Marika's benefit.","Will you let me win? After all, it's for Marika's benefit."
s_ti_henry_nevis_vsechno__E7D0,You don't know everything. the Voivode has elected a champion to compete in his place. It's you.,You don't know everything. The Voivode has elected a champion to compete in his place. It's you.
s_ti_henry_no_jo_no_jo_uv_HJvk,"Yeah, I know… Let's see how the second round turns out!","Yeah, yeah, I know… Let's see how the second round turns out!"
s_ti_henry_no_tak_mame_za_BkAN,Well… So the fight is over as well…,So... the fight is over as well…
s_ti_henry_tak_teda_hodne_8rYy,"We then, good luck, Tibor!","Well then, good luck, Tibor!"
