localization_key,English_reference,Chineses_display,Chineset_display,Czech_display,English_display,French_display,German_display,Italian_display,Japanese_display,Korean_display,Polish_display,Portuguese_display,Russian_display,Spanish_display,Turkish_display,Ukrainian_display,Vietnamese_display
cech_cechmistr_so_ist_das_BwcW,"So ist das eben, it’s hard to get by without friends, but that’s what unsere Gilde is for — to help one another...",So ist das eben（就是这样），没有朋友真的很难熬，但这正是unsere Gilde（我们的公会）存在的意义——彼此帮衬……,So ist das eben（現實就是這樣），沒朋友什麼也辦不到。unsere Gilde（我們公會）就是為了互助的理念而存在的……,"So ist das eben, bez přátel to těžko jde, ale od toho je tady unsere Gilde, abychom si pomáhali...","So ist das eben, it’s hard to get by without friends, but that’s what unsere Gilde is for - to help one another...","So ist das eben, seul on va plus vite, mais ensemble, on va plus loin. C'est à cela que sert unsere Gilde : à nous serrer les coudes !","So ist das eben, es ist schwer, ohne Freunde auszukommen, aber dafür ist unsere Gilde ja da – um einander zu helfen …","So ist das eben, è difficile sopravvivere senza amici, ma è proprio a questo che serve la nostra gilda: aiutarci a vicenda…",仕事とはそういうものさ  仲間なしでは<br/>やっていけない<br/>俺たちのギルドはそのためにある…<br/>助け合うためにな…,So ist das eben. 친구 없이는 헤쳐나가기 어려운 노릇이지. 하지만 그래서 우리 길드가 있는 것 아니겠나. 서로 돕기 위해서 말이네...,"So ist das eben, nie jest łatwo żyć bez przyjaciół, ale po to jest unsere Gilde – by sobie nawzajem pomagać.","So ist das eben, é difícil viver sem amigos, mas é para isso que serve unsere Gilde: para ajudar uns aos outros…","So ist das eben, без друзей обойтись тяжело, но для того есть unsere Gilde – чтобы один другого помогайт...","So ist das eben, es complicado aguantar sin amigos, mas para eso está unsere Gilde: para echarnos una mano entre todos.","So ist das eben, arkadaşsız yaşamak zor ama unsere Gilde de bunun için var, birbirimize yardım etmek için...","So ist das eben, без друзів зараз тяжко, але для цього і є unsere Gilde — щоб допомагати один одному...","Chuyện là vậy đó, thật khó để sống mà không có bằng hữu, nhưng đó là lý do tại sao Gilde (Công hội) của chúng ta tồn tại - để giúp đỡ lẫn nhau..."
gree_pozdrav_m_so_kerehas_zIgu,"!T So kerehas, goro?","So kerehas, goro?","So kerehas, goro?","So kerehas, goro?","So kerehas, goro?","So kerehas, goro?","So kerehas, goro?","So kerehas, goro?","So kerehas, goro?","So kerehas, goro?","So kerehas, goro?","So kerehas, goro?","So kerehas, goro?","¿So kerehas, goro?","So kerehas, goro?","So kerehas, goro?","So kerehas, goro?"
lock_svedek_vi_co_tam_zko_2iZF,!T So keres odoj?,So keres odoj?,So keres odoj?,So keres odoj?,So keres odoj?,So keres odoj?,So keres odoj?,So keres odoj?,So keres odoj?,So keres odoj?,So keres odoj?,So keres odoj?,So keres odoj?,¿So keres odoj?,So keres odoj?,So keres odoj?,So keres odoj?
npc__npc_vidi__co_delas_s_r3xT,!T So keres ola zbranyaha ?,So keres ola zbranyaha?,So keres ola zbranyaha?,So keres ola zbraňaha?,So keres ola zbranyaha?,So keres ola zbranyaha ?,So keres ola zbranyaha?,So keres ola zbranyaha?,So keres ola zbranyaha ?,So keres ola zbranyaha?,So keres ola zbranyaha?,So keres ola zbranyaha?,So keres ola zbranyaha?,¿So keres ola zbranyaha?,So keres ola zbranyaha?,So keres ola zbranyaha?,So keres ola zbranyaha?
npc__npc_vidi__jeste_neko_UkSI,"!T So keres, gadjo?","So keres, gadjo?","So keres, gadjo?","So keres, gádžo?","So keres, gadjo?","So keres, gadjo ?","So keres, gadjo?","So keres, gadjo?","So keres, gadjo?","So keres, gadjo?","So keres, gadżo?","So keres, gadjo?","So keres, gadjo?","¿So keres, gadjo?","So keres, gadjo?","So keres, gadjo?","So keres, gadjo?"
npc__npc_vidi__dej_to_dol_XsgB,"!T So keres, goro?","So keres, goro?","So keres, goro?","So keres, goro?","So keres, goro?","So keres, goro?","So keres, goro?","So keres, goro?","So keres, goro?","So keres, goro?","So keres, goro?","So keres, goro?","So keres, goro?","¿So keres, goro?","So keres, goro?","So keres, goro?","So keres, goro?"
kost_kostky_st_so_o_del_d_rVsp,"!T So o Del dela, oda ela.","So o del dela, oda ela.","So o Del dela, oda ela.","So o Del dela, oda ela.","So o Del dela, oda ela.","So o Del dela, oda ela.","So o Del dela, oda ela.","So o Del dela, oda ela.","So o Del dela, oda ela.","So o Del dela, oda ela.","So o Del dela, oda ela.","So o Del dela, oda ela.","So o Del dela, oda ela.","So o Del dela, oda ela.","So o Del dela, oda ela.","So o Del dela, oda ela.","So o Del dela, oda ela."
npc__npc_vidi__co_to_mrtv_y7yl,!T So oda…? O mulo manush!,So oda…? O mulo manush!,So oda…? O mulo manush!,So oda…? O mulo manuš!,So oda…? O mulo manush!,So oda…? O mulo manush!,So oda…? O mulo manush!,So oda…? O mulo manush!,So oda…? O mulo manush!,So oda…? O mulo manush!,So oda…? O mulo manusz!,So oda… O mulo manush!,So oda…? O mulo manush!,¿So oda…? ¡O mulo manush!,So oda…? O mulo manush!,So oda…? O mulo manush!,So oda…? O mulo manush!
npc__npc_vidi__co_to_ma_z_dBJN,!T So oda…? O mulo!,So oda…? O mulo!,So oda…? O mulo!,So oda…? O mulo!,So oda…? O mulo!,So oda… ? O mulo !,So oda …? O mulo!,So oda…? O mulo!,So oda…? O mulo!,So oda…? O mulo!,So oda…? O mulo!,So oda… O mulo!,So oda…? O mulo!,¿So oda…? ¡O mulo!,So oda…? O mulo!,So oda…? O mulo!,So oda…? O mulo!
npc__npc_vidi__pal_soste__3bp0,!T So pes achel?,So pes achilya?,So pes achilya?,So pes ačhiľa?,So pes achilya?,So pes achilya ?,So pes achilya?,So pes achilya?,So pes ačilia?,So pes achilya?,So pes achilya?,So pes achilya?,So pes achilya?,¿So pes achilya?,So pes achilya?,So pes achilya?,So pes achilya?
gree_pozdrav_m_so_rodes_AWtN,"So rodes, goro?","So rodes, goro?","So rodes, goro?","So rodes, goro?","So rodes, goro?","So rodes, goro ?","So rodes, goro?","So rodes, goro?","So rodes, goro?","So rodes, goro?","So rodes, goro?","So rodes, goro?","So rodes, goro?","¿So rodes, goro?","So rodes, goro?","So rodes, goro?","So rodes, goro?"
gree_pozdrav_m_so_rodes_m_pukX,"!T So rodes, kareya?","So rodes, kareya?","So rodes, kareya?","So rodes, kareja?","So rodes, kareya?","So rodes, kareya ?","So rodes, kareya?","So rodes, kareya?","So rodes, kareya?","So rodes, kareya?","So rodes, kareja?","So rodes, kareya?","So rodes, kareya?","¿So rodes, kareya?","So rodes, kareya?","So rodes, kareya?","So rodes, kareya?"
gree_pozdrav_z_so_rodes_m_P3Ze,"!T So rodes, melalo?!","So rodes, melalo?!","So rodes, melalo?!","So rodes, melaleja?!","So rodes, melalo?!","So rodes, melalo ?!","So rodes, melalo?!","So rodes, melalo?!","So rodes, melalo?!","So rodes, melalo?!","So rodes, melalo?!","So rodes, melalo?!","So rodes, melalo?!","¡¿So rodes, melalo?!","So rodes, melalo?!","So rodes, melalo?!","So rodes, melalo?!"
gree_pozdrav_z_so_rodes_m_M0Fl,"So rodes, mindžapúr?","So rodes, tu kar?","So rodes, tu kar?","So rodes, tu kar?","So rodes, tu kar?","So rodes, tu kar?","So rodes, tu kar?","So rodes, tu kar?","So rodes, tu kar?","So rodes, tu kar?","So rodes, tu kar?","So rodes, tu kar?","So rodes,tu kar?","¿So rodes, tu kar?","So rodes, tu kar?","So rodes, tu kar?","So rodes, tu kar?"
gree_pozdrav_m_so_rodes_0XJK,!T So rodes?,So rodes?,So rodes?,So rodes?,So rodes?,So rodes ?,So rodes?,So rodes?,So rodes?,So rodes?,So rodes?,So rodes?,So rodes?,¿So rodes?,So rodes?,So rodes?,So rodes?
arne_arne_nemec_so_sei_es_z6Vt,So sei es dann...,So sei es dann...（好吧...... ）,So sei es dann...（好吧……）,So sei es dann…,So sei es dann...,So sei es dann…,"Na, meinetwegen ...",So sei es dann…,（そうだな…）,So sei es dann...,So sei es dann...,So sei es dann…,So sei es dann...,So sei es dann…,Yani sei es dann...,So sei es dann...,So sei es dann...
pozd_sousedsky_lacho_RCNz,"!T So taves, mri chay?","So taves, mri chay?","So taves, mri chay?","So taves, mri čhaj?","So taves, mri chay?","So taves, mri chay ?","So taves, mri chay?","So taves, mri chay?","So taves, mri chay?","So taves, mri chay?","So tawes, mri czaj?","So taves, mri chay?","So taves, mri chay?","¿So taves, mri chay?","So taves, mri chay?","So taves, mri chay?","So taves, mri chay?"
ques_quest_tip_tak_za_nim_osMm,"So try to go and see him, und Viel Erfolg!",所以试试去找他吧。und Viel Erfolg（祝你好运）！,去見見他吧，und Viel Erfolg（祝你好運）！,"Tak za ním zkus zajít, und Viel Erfolg!","So try to go and see him, und Viel Erfolg!",Tu devrais aller lui parler… und viel Erfolg !,Du solltest zu ihm gehen. Viel Erfolg!,"Vai a trovarlo, und Viel Erfolg!",会いに行ってみるといい  幸運を祈る！,"그러니 한번 만나 봐, und Viel Erfolg!","Wybierz się do niego, und Viel Erfolg!","Então tente ir falar com ele, und Viel Erfolg!","Ты старайся ходить к нему, und Viel Erfolg!","¡Conque id a verle, und Viel Erfolg!","O yüzden git tanış, und Viel Erfolg!","Тож спробуй знайти його, und Viel Erfolg!",Cứ đến gặp gã đi. Chúc may mắn!
s_bo_henry_takze_bysme_me_4jZA,So we should take Samuel to Kolin as soon as possible so the rabbi can take care of it.,所以我们得尽快将塞缪尔带到科林，以便让拉比来处理此事。,所以我們得盡快帶山穆爾去柯林，讓拉比幫忙處理。,"Takže bysme měli Samuela co nejdřív dopravit do Kolína, aby se o něj postaral rabín.",So we should take Samuel to Kolin as soon as possible so the rabbi can take care of it.,Nous devrions emmener Samuel à Kolin le plus tôt possible pour que le rabbin puisse s'en occuper.,"Wir sollten Samuel schnellstmöglich nach Kolin bringen, damit der Rabbi sich um ihn kümmern kann.","Quindi dovremmo portare Samuel a Kolín il prima possibile, in modo che il rabbino possa occuparsene.",だから  できる限り早くサミュエルをコリンに<br/>連れて行かなきゃならない,그러니 랍비가 처리할 수 있도록 최대한 빨리 사무엘을 콜린으로 데려가야 해요.,"Więc jak najszybciej trzeba zabrać Samuela do Kolina, aby rabin się nim zajął.",Então devemos levar Samuel para Kolín o mais rápido possível para que o rabino possa cuidar disso.,"Поэтому надо скорее Шмуэля в Колин доставить, а дальше раввина забота.",Deberíamos llevar a Samuel hasta Kolín lo antes posible para que se encargue el rabino.,"O yüzden Samuel'i en kısa süre içinde Kolin'e götürmeliyiz ki, haham bu işle ilgilenebilsin.","Тож ми повинні якнайшвидше відвезти Самуїла до Коліна, щоб ребе міг подбати про нього.",Vậy nên tôi phải đưa Samuel đến Kolin nhanh nhất có thể.
goss_gossip_sp_hm__wie_im_05DQ,"!P Eh, so wie immer.",So wie immer also.（唉，狗改不了吃屎。）,So wie immer also.（唉，我就知道。）,So wie immer also.,So wie immer also.,So wie immer also.,So wie immer also.,So wie immer also.,So wie immer also.,So wie immer also.,So wie immer also.,So wie immer also.,So wie immer also.,So wie immer also.,So wie immer also.,So wie immer also.,So wie immer also.
arne_arne_nemec_so_bereit_AMkq,"So, bereit?",所以你bereit（准备好了）？,所以你bereit（準備好了）？,"So, bereit?","So, bereit?","Alors, bereit ?","Also, bereit?","So, bereit?",さ  準備はいいか？,"So, bereit?","So, bereit?","Então, bereit?","Ну что, bereit?","So, ¿bereit?","Yani, bereit?","Ну то що, bereit?","So, bereit?"
blac_cechmistr_tak_a_je_t_GpXF,"!P So, das war's dann wohl.",看来，das war's dann wohl（就到此为止了吧）。,"So, das war's dann wohl.",Tak a je to v prdeli.,"So, das war's dann wohl.","So, das war's dann wohl.",Das war’s dann wohl.,"So, das war's dann wohl.","So, das war's dann wohl.","So, das war's dann wohl.","No, das war's dann wohl.","So, das war's dann wohl.","So, das war's dann wohl.","So, das war's dann wohl.","So, das war's dann wohl.","So, das war's dann wohl.",Vậy là xong đời rồi.
laze_lazebnice_uf_deine_w_DDCp,"Uf, Deine Wunden sind versorgt.","So, deine Wunden sind jetzt versorgt.","So, deine Wunden sind jetzt versorgt.（你的傷口已經處理好了。）","Uf, Deine Wunden sind versorgt.","So, deine Wunden sind jetzt versorgt.","So, deine Wunden sind jetzt versorgt.","So, deine Wunden sind jetzt versorgt.","So, deine Wunden sind jetzt versorgt.","So, deine Wunden sind jetzt versorgt.","So, deine Wunden sind jetzt versorgt.","So, deine Wunden sind jetzt versorgt.","So, deine Wunden sind jetzt versorgt.","So, deine Wunden sind jetzt versorgt.","So, deine Wunden sind jetzt versorgt.","So, deine Wunden sind jetzt versorgt.","So, deine Wunden sind jetzt versorgt.","So, deine Wunden sind jetzt versorgt."
arne_arne_nemec_so_heinri_XpCI,"So, Heinrich, bist du bereit?","So, Heinrich, bist du bereit?（亨利，你准备好了吗？ ）","所以，Heinrich, bist du bereit?（亨利，你準備好了嗎？）","So, Heinrich, bist du bereit?","So, Heinrich, bist du bereit?","So, Heinrich, bist du bereit ?","Also, Heinrich, könn’ wa?","So, Heinrich, bist du bereit?",（ではハインリッヒ  覚悟はいいか？）,"자, 하인리히, bist du bereit?","Heinrich, bist du bereit?","Então, Heinrich, bist du bereit?","Ну, Хайнрих, bist du bereit?","¿Bist du bereit, Heinrich?","Ee, Heinrich, bist du bereit?","Ну що, Гайнріху, bist du bereit?","So, Heinrich, bist du bereit?"
reme_remeslnik_eh_hier_un_Kpvo,"!P Eh, hier, und... Fertig!","So, hier und ... fertig!","So, hier und...fertig!（換這邊，然後……完成！）","So, hier und... fertig!","So, hier und ... fertig!","So, hier und… fertig!","So, hier und ... fertig!","So, hier und… fertig!","So, hier und ... fertig!","So, hier und... fertig!","So, hier und... fertig!","So, hier und… fertig!","So, hier und ... fertig!","So, hier und … ¡fertig!","So, hier und ... fertig!","So, hier und… fertig!","So, hier und...fertig! (Đến đây, và... xong!)"
hosp_hospodsky_so_noch_ei_rFVV,!P So noch eine Runde?,"So, noch eine Runde?",So noch eine Runde?（再來一輪？）,"So, noch eine Runde?","So, noch eine Runde?","So, noch eine Runde?","So, noch eine Runde?","So, noch eine Runde?","So, noch eine Runde?",So noch eine Runde?,So noch eine Runde?,"So, noch eine Runde?",So noch eine Runde?,"¿So, noch eine Runde?","So, noch eine Runde?","So, noch eine Runde?","So, noch eine Runde?"
npc__npc_neroz_co_to_bylo_DgRH,!T Soda sas?,Soda sas?,Soda sas?,S'oda sas?,Soda sas?,Soda sas ?,Soda sas?,Soda sas?,Soda sas?,Soda sas?,Soda sas?,Soda sas?,Soda sas?,¿Soda sas?,Soda sas?,Soda sas?,Soda sas?
bark_kuman_u_s_nem_fognak_6xRc,Nem fognak itt látni engem!,Soha többé nem fognak itt látni engem.,Soha többé nem fognak itt látni engem.,Soha többé nem fognak itt látni engem.,Soha többé nem fognak itt látni engem.,Soha többé nem fognak itt látni engem.,Soha többé nem fognak itt látni engem.,Soha többé nem fognak itt látni engem.,（奴ら  ここには二度と来ないだろうな）,Soha többé nem fognak itt látni engem!.,Soha többé nem fognak itt látni engem!,Soha többé nem fognak itt látni engem,Soha többé nem fognak itt látni engem.,Soha többé nem fognak itt látni engem.,Soha többé nem fognak itt látni engem!,Soha többé nem fognak itt látni engem.,Soha többé nem fognak itt látni engem.
svep_svepomoc__sok_baj_va_htPI,Sok baj van veled!,Sok baj van veled!,Sok baj van veled!（你毛病真多！）,Sok baj van veled!,Sok baj van veled!,Sok baj van veled!,Sok baj van veled!,Sok baj van veled!,Sok baj van veled!,Sok baj van veled!,Sok baj van veled!,Sok baj van veled!,Sok baj van veled!,¡Sok baj van veled!,Sok baj van veled!,Sok baj van veled!,Sok baj van veled!
comb_hans_plum_soll_ich_e_qq2C,!P Soll ich es dir zeigen?,Soll ich es dir zeigen（想不想让我演示一遍）？,Soll ich es dir zeigen?,Soll ich es dir zeigen?,Soll ich es dir zeigen?,Soll ich es dir zeigen ?,Willst du mal sehen?,Soll ich es dir zeigen?,Soll ich es dir zeigen?,Soll ich es dir zeigen?,Soll ich es dir zeigen?,Soll ich es dir zeigen?,Soll ich es dir zeigen?,¿Soll ich es dir zeigen?,Soll ich es dir zeigen?,Soll ich es dir zeigen?,Tôi có nên cho cậu xem không?
o_zi_mistr_fab_soll_ich_g_9U9C,!P Soll ich glucklich sein?,Soll ich mich darüber freuen?（我需要感到高兴吗？）,Soll ich mich darüber freuen?,Soll ich mich darüber freuen?,Soll ich mich darüber freuen?,Soll ich mich darüber freuen ?,Soll ich mich darüber freuen?,Soll ich mich darüber freuen?,（喜んでおくべきか？）,Soll ich mich darüber freuen?,Soll ich mich darüber freuen?,Soll ich mich darüber freuen?,Soll ich mich darüber freuen?,¿Soll ich mich darüber freuen?,Soll ich mich darüber freuen?,Soll ich mich darüber freuen?,Soll ich mich darüber freuen? Tôi nên vui vì điều đó chắc?
hled_npc_hleda_nejakej_pi_cGOI,Some fucker shot from here.,Some fucker shot from here.,Some fucker shot from here.,Nějakej píčus vocať střílel.,Some fucker shot from here.,Some fucker shot from here.,Some fucker shot from here.,Some fucker shot from here.,Some fucker shot from here.,Some fucker shot from here.,Some fucker shot from here.,Some fucker shot from here.,### FATAL ERROR: RESPONSE NOT TRANSLATED ###,Some fucker shot from here.,Some fucker shot from here.,Some fucker shot from here.,Some fucker shot from here.
menh_menhart_z_nekdo_sice_x9wd,"Some say that in Augsburg or Nürnberg there are bessere Meister, aber... they cannot match our Bruderschaft. They are good, but we are die Besten!",有人说，奥格斯堡或纽伦堡有bessere Meister（最好的大师），aber（但是）…他们无法与我们的Bruderschaft（兄弟会）相比。他们是好，但我们是最好！,有人會說奧格斯堡或紐倫堡的Meister（大師）更厲害，aber...（不過呢……）和我們的Bruderschaft（兄弟會）相比還是略遜一籌。他們是有兩下子，但我們才是die Besten（第一）！,"Někdo sice řikat, ze v Augsburg nebo Nürnberg lepši mistrové být... ale proti naše bratrstvo neobstát... oni dobrá, my ambesten, nejlepší.","Some say that in Augsburg or Nürnberg there are bessere Meister, aber … they cannot match our Bruderschaft. They are good, but we are die Besten!","D'aucuns disent qu'il y a de bessere Meister à Augsburg ou Nürnberg, aber… ils n'ont pas le niveau de notre bruderschaft. Ils sont bons, mais nous sommes die besten !","Manche behaupten, dass es in Augsburg und Nürnberg noch bessere Meister gäbe, aber ... die kommen nicht an unsere Bruderschaft heran. Sie sind gut, aber wir sind die Besten!","Qualcuno dice che ci sono Meister migliori ad Augusta o Norimberga, ma la nostra confraternita è la migliore!",アウグスブルクやニュルンベルクにも優れた達人が<br/>いるとも言われるが…  我らが同盟に敵うはずはない<br/>彼らも強いが  最強は俺たちだ！,"아우크스부르크나 뉘른베르크 출신들이 자기 실력이 더 뛰어나다고 주장했지만... 우리 Bruderschaft에는 상대가 되지 못했어. 그들도 훌륭하지만, 우리는 최강이야!","Niektórzy twierdzą, że Augsburg albo Nürnberg mają bessere Meister, aber... nie dorównują naszemu Bruderschaft. Są dobrzy, ale my jesteśmy die Besten!","Dizem que em Augsburg ou Nürnberg existem bessere Meister, aber… eles não são páreo para nossa Bruderschaft. São bons, mas nós somos die Besten!","Иные говорить, что в Augsburg или Nürnberg есть лучшие Meister, aber... им не сравняться с нашим Bruderschaft. Они хороши, но мы есть die Besten!","Según algunos, en Augsburgo y Núremberg hay bessere Meister, pero… no están a la altura de nuestra Bruderschaft. Son buenos, ¡mas no die Besten!","Bazıları Augsburg veya Nürnberg'de bessere Meister var diyor, aber… bizim Bruderschaft ile boy ölçüşemezler. İyidirler ama biz die Besten!","Дехто каже, що в Аугсбурзі чи в Нюрнберзі є кращі Meister, aber… їм все одно не зрівнятися з нашим Bruderschaft. Вони непогані, але ми die Besten!","Có kẻ nói ở Augsburg hay Nürnberg có Meister giỏi, nhưng… họ không thể so với Bruderschaft của bọn tôi. Họ giỏi, nhưng chúng tôi là giỏi nhất!"
zasa_svedek_re_strelba_wa_Nrul,!P Someone's shooting! Was ist los?,有人在射箭！怎么回事?,有人在放箭！Was ist los?（怎麼了？）,Někdo tu střílí! Was ist los?,Someone's shooting! Was ist los?,Quelqu'un nous tire dessus ! Was ist los?,Jemand schießt! Was soll das?,Qualcuno sta tirando! Was ist los?,誰かが矢を！  何が起きてるんだ？,화살이다! Was ist los?,Ktoś strzela! Was ist los?,Alguém está atirando! Was ist los?,Кто-то стреляйт! Was ist los?,¡Están disparando! ¿Was ist los?,Biri ok atıyor! Was ist los?,Хтось стріляє! Was ist los?,Có ai đó bắn tên! Cái quái gì đang xảy ra?!
poly_brabant_sono_un_buon_cvVV,"!P Sono un buongustaio, le donne qui sono bellissime e il vino è delizioso!","Sono un buongustaio, le donne qui sono bellissime e il vino è delizioso!（我是个小商贩，我们这儿姑娘又美、酒又好喝！）","Sono un buongustaio, le donne qui sono bellissime e il vino è delizioso!","Sono un buongustaio, le donne qui sono bellissime e il vino è delizioso!","Sono un buongustaio, le donne qui sono bellissime e il vino è delizioso!","Sono un buongustaio, le donne qui sono bellissime e il vino è delizioso!","Sono un buongustaio, le donne qui sono bellissime e il vino è delizioso!","Sono un buongustaio, le donne qui sono bellissime e il vino è delizioso!",（私は美食家だ  ここの女性は美しいし<br/>ワインも非常に美味い！）,"Sono un buongustaio, le donne qui sono bellissime e il vino è delizioso!","Sono un buongustaio, le donne qui sono bellissime e il vino è delizioso!","Sono un buongustaio, le donne qui sono bellissime e il vino è delizioso!","Sono un buongustaio, le donne qui sono bellissime e il vino è delizioso!","¡Sono un buongustaio, le donne qui sono bellissime e il vino è delizioso!","Sono un buongustaio, le donne qui sono bellissime e il vino è delizioso!","Sono un buongustaio, le donne qui sono bellissime e il vino è delizioso!","Sono un buongustaio, le donne qui sono bellissime e il vino è delizioso!"
vajd_vajda_sukervica_tuke_WhKy,Sukervizta tuke pro piski te marel! What kind of gadjo deal is that? The amulet and the letter are both mine! Mine!,Sookervizta tooke pro peeski te marel！这是什么鬼把戏？护身符和通行函都是我的！我的！,Sookervizta tooke pro peeski te maarel（怎麼有如此貪得無厭的人）！你們外來者都是這樣談生意的嗎？護身符和保護證都是我的！我的！,"Sukervica tuke pro piski te marel! Chceš mě snad vydírat, gádžo? Amulet i glejt jsou moje. Moje!",Sookervizta tooke pro peeski te maarel! What kind of gadjo deal is that? The amulet and the letter are both mine! Mine!,"Sukervizta tuke pro piski te marel ! Quel échange de gadjo est-ce là ? L'amulette est à moi, comme la lettre !",Sookervizta tooke pro peeski te maarel! Was für ein gadjo-Handel soll das sein? Das Amulett und der Brief gehören beide mir! Mir!,"Sukervizta tuke pro piski te marel! Che mi proponi, gadjo? Amuleto e salvacondotto sono già miei!",おいおい  ふざけたことを抜かすな！<br/>いったいどういう取引だ？  元はと言えば<br/>お守りも手紙も私のものだ！,"Sookervizta tooke pro peeski te maarel! 그게 무슨 말도 안 되는 거래지? 부적과 통행증은 둘 다 내 거야, 내 거!","Sukerwica tuke pro piski te marel! Co to za jakaś gadżowska wymiana? Zarówno glejt, jak i amulet są moje! Moje!",Sookervizta tooke pro peeski te maarel! Que tipo de acordo é esse? O amuleto e a carta são meus! Meus!,"Sookervizta tooke pro peeski te maarel! Только gadjo мог предложит такую сделку! Мой амулет, и грамота моя! Моя!","¡Sukervizta tuke pro piski te marel! ¿Qué clase de acuerdo es este, gadjo? ¡El amuleto y el documento son míos!",Sookervizta tooke pro peeski te maarel! Bu ne tür bir gadjo anlaşması? Tılsım da mektup da benim! Benim!,"Sookervizta tooke pro peeski te maarel! Що це за gadjo-угода? І амулет, і ґлейт належать мені! Мені!",Sookervizta tooke pro peeski te maarel! Đó là loại giao dịch gadjo gì vậy? Bùa hộ mệnh và lá thư đều là của tôi! Của tôi!
zizk_hans_uher_xx_Brh6,Ugly freak!,Sopliak krpatý!,Sopliak krpatý!,Sopliak krpatý!,Sopliak krpatý!,Sopliak krpatý!,Sopliak krpatý!,Sopliak krpatý!,Sopliak krpatý!,Sopliak krpatý!,Sopliak krpatý!,Sopliak krpatý!,Sopliak krpatý!,¡Sopliak krpatý!,Sopliak krpatý!,Sopliak krpatý!,Sopliak krpatý!
lock_owner_vid_co_na_to_c_3VuZ,!T Soske proda chalaves?,Soske proda chalaves?,Soske proda chalaves?,Soske pr'oda čalaves?,Soske proda chalaves?,Soske proda chalaves?,Soske proda chalaves?,Soske proda chalaves?,Soske proda chalaves?,Soske proda chalaves?,Soske proda czalawes?,Soske proda chalaves?,Soske proda chalaves?,¿Soske proda chalaves?,Soske proda chalaves?,Soske proda chalaves?,Soske proda chalaves?
assa_npc_vidi__proc_se_rv_WzV7,!T Soske tumen maren?,Soske tumen maren?,Soske tumen maren?,Soske tumen maren?,Soske tumen maren?,Soske tumen maren?,Soske tumen maren?,Soske tumen maren?,Soske tumen maren?,Soske tumen maren?,Soske tumen maren?,Soske tumen maren?,Soske tumen maren?,¿Soske tumen maren?,Soske tumen maren?,Soske tumen maren?,Soske tumen maren?
zran_vitek_boh_sovkosovko_jqhx,Sovka... Sovka!,索芙卡……索芙卡！,索芙卡……索芙卡！,Sovko... Sovko!,Sovka... Sovka!,Sovka… Sovka !,Sovka ... Sovka!,Sovka… Sovka!,（ソヴカ）,소브카... 소브카!,Sówka... Sówka!,Sovka… Sovka!,Совка... Совка!,Sovka… ¡Sovka!,Sovka... Sovka!,Совко... Совко!,(Sovka)
dial_po_souboj_takze_noch_L3Hh,So… Noch einmal?,那……Noch eine Runde（要再来一轮吗）？,那麼……Noch eine Runde（要再來一次嗎）？,So … Noch eine Runde?,So … Noch eine Runde?,So … Noch eine Runde?,So … Noch eine Runde?,So … Noch eine Runde?,So … Noch eine Runde?,So … Noch eine Runde?,So... Noch eine Runde?,So… Noch eine Runde?,So... Noch eine Runde?,So … ¿Noch eine Runde?,Yani… Noch eine Runde?,So… Noch eine Runde?,So … Noch eine Runde?
ph_l_legatuv_m_sparare_c3xg,!P Sparare!,Spara（射）！,Spara!,Spara!,Spara!,Spara !,Spara!,Spara!,Spara!,Spara!,Spara!,Spara!,Spara!,¡Spara!,Spara!,Spara!,Spara!
gree_pozdrav_n_mluv_ale_r_H8zZ,"Speak, but quickly!","Speak, but quickly!","Speak, but quickly!","Mluv, ale rychle!","Speak, but quickly!","Speak, but quickly!","Speak, but quickly!","Speak, but quickly!","Speak, but quickly!","Speak, but quickly!","Speak, but quickly!","Speak, but quickly!","Speak, but quickly!","Speak, but quickly!","Speak, but quickly!","Speak, but quickly!","Speak, but quickly!"
bark_soldier_n_spielt_nic_1eZe,!P Spielt nicht mit uns!,Spielt nicht mit uns! （别瞧不起我们！）,Spielt nicht mit uns!（少瞧不起我們了！）,Spielt nicht mit uns!,Spielt nicht mit uns!,Spielt nicht mit uns!,Spielt nicht mit uns!,Spielt nicht mit uns!,Spielt nicht mit uns!,Spielt nicht mit uns!,Spielt nicht mit uns!,Spielt nicht mit uns!,Spielt nicht mit uns!,¡Spielt nicht mit uns!,Spielt nicht mit uns!,Spielt nicht mit uns!,Spielt nicht mit uns!
npc__npc_vidi__sprich_dei_dR9p,"!P Sprich deine Gebete, Schlampe!","Sprich deine Gebete, Arschloch!（准备受死吧，贱人！）","Sprich deine Gebete, Arschloch!（準備受死吧，王八蛋！）","Sprich deine Gebete, Arschloch!","Sprich deine Gebete, Arschloch!","Sprich deine Gebete, Arschloch!","Sprich deine Gebete, Arschloch!","Sprich deine Gebete, Arschloch!","Sprich deine Gebete, Arschloch!","Sprich deine Gebete, Arschloch!","Sprich deine Gebete, Arschloch!","Sprich deine Gebete, Arschloch!","Sprich deine Gebete, Arschloch!","¡Sprich deine Gebete, Arschloch!","Sprich deine Gebete, Arschloch!","Sprich deine Gebete, Arschloch!","Sprich deine Gebete, Arschloch!"
